x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,Movement
0.324932218,0.637456119,-2.05E-09,0.274367034,0.600289881,0.010027455,0.240886867,0.56152761,0.009552182,0.211528972,0.54011929,0.007501769,0.187946528,0.547466993,0.006585765,0.276263803,0.466110528,-0.001114428,0.278945416,0.473755062,0.012243,0.285995454,0.505034983,0.020353351,0.285760552,0.524647415,0.022670588,0.313863903,0.463175744,-0.007503026,0.313317776,0.478018016,0.010042088,0.315288901,0.505569696,0.019617211,0.31282565,0.524184287,0.020070773,0.348513842,0.474806935,-0.009977653,0.343197525,0.491777122,0.012575915,0.34272024,0.516274214,0.022280885,0.339837641,0.534487367,0.021444082,0.377569884,0.493052602,-0.013078447,0.374589324,0.505251288,0.009651113,0.370958567,0.526740849,0.020120578,0.36745581,0.542693615,0.022577006,Right
0.326382011,0.636547804,-2.25E-09,0.275304258,0.601109326,0.007389233,0.241220966,0.562796414,0.006007129,0.211809546,0.541363955,0.003593785,0.188300103,0.548116326,0.002279834,0.2781578,0.46689868,-0.003883036,0.277769417,0.47827512,0.008609859,0.28386721,0.511009812,0.016004784,0.284802824,0.530525506,0.017761888,0.315761983,0.463558614,-0.009224111,0.312164038,0.482874364,0.007297001,0.313623965,0.511217177,0.015990337,0.312561452,0.529399991,0.015685659,0.350125402,0.474692255,-0.010812641,0.342655003,0.49528873,0.010576859,0.341732413,0.519667029,0.019137869,0.339589387,0.537327051,0.017482672,0.378965855,0.492492199,-0.013198219,0.374167174,0.507888317,0.008253193,0.370452762,0.529395461,0.017659416,0.367676437,0.544802308,0.019344399,Right
0.331858486,0.635558248,-2.54E-09,0.280428439,0.600230932,0.009065123,0.245796412,0.561755538,0.008795334,0.215517148,0.540061831,0.007633274,0.192072064,0.545683444,0.007542344,0.280556917,0.465534955,-0.003512768,0.280862898,0.478009164,0.01040479,0.287849784,0.510144889,0.018968306,0.288624436,0.5283131,0.0214622,0.318719298,0.462144583,-0.008640578,0.316236824,0.481047779,0.009082031,0.318353206,0.508761346,0.019311376,0.316930115,0.526093781,0.020040138,0.353832275,0.473647475,-0.009603159,0.346956313,0.495345592,0.013073485,0.346236765,0.519543231,0.023020327,0.344143122,0.536533237,0.022267118,0.383262753,0.491699308,-0.011152222,0.378484517,0.509378493,0.011533165,0.374729812,0.531247675,0.021759884,0.37210086,0.546363533,0.02402365,Right
0.335037768,0.639289856,-2.93E-09,0.283079475,0.601707995,0.010726462,0.248522222,0.562237978,0.01038074,0.217556804,0.540110946,0.008729235,0.194004834,0.5458377,0.008436167,0.286752313,0.467316687,-0.003056624,0.282106727,0.474476159,0.011285302,0.287071079,0.508521318,0.021041157,0.289319307,0.52918762,0.024337154,0.323827833,0.464234352,-0.009347851,0.316206962,0.478468299,0.008892868,0.316967756,0.507042468,0.019780373,0.317007214,0.525861919,0.020978432,0.357618541,0.475430578,-0.011320652,0.346399814,0.492836535,0.012137034,0.34549734,0.517672718,0.022784794,0.344688296,0.535686493,0.022367513,0.38569352,0.492991149,-0.013713604,0.376746058,0.506136954,0.009504063,0.373047441,0.527980864,0.020406239,0.371555954,0.543864846,0.023088841,Right
0.337312967,0.637556672,-2.26E-09,0.285532355,0.600803852,0.008788205,0.25077334,0.561728418,0.007734053,0.220064282,0.539322078,0.00547231,0.195989698,0.544940889,0.004319424,0.28641209,0.466841251,-0.003744563,0.286137342,0.477674484,0.008976427,0.293080389,0.509821117,0.016731741,0.294185221,0.529182434,0.018741641,0.323873878,0.463449836,-0.009664924,0.321190208,0.480569065,0.006676878,0.323650122,0.508172929,0.015776331,0.322524667,0.526293039,0.015866697,0.358265281,0.474549264,-0.011543017,0.351843625,0.493050367,0.010078393,0.351358235,0.517460287,0.019607477,0.349152416,0.535587192,0.018637352,0.387004375,0.492426842,-0.01409569,0.383203834,0.506308556,0.007999958,0.379904568,0.527902603,0.018253056,0.377148926,0.543682516,0.020522773,Right
0.341206223,0.639966786,-2.84E-09,0.288870394,0.602666557,0.011019778,0.254321992,0.561793506,0.011457869,0.22288686,0.538749397,0.01066611,0.198415443,0.543479443,0.011210928,0.290942043,0.467238903,-0.00107284,0.287583143,0.474858254,0.014637175,0.293306977,0.508451581,0.025100596,0.295279086,0.528778553,0.028783005,0.32829994,0.463970214,-0.00688993,0.322036892,0.477272809,0.012273259,0.323360354,0.505637228,0.023409469,0.323083252,0.524693787,0.024941957,0.362607419,0.475237012,-0.008309465,0.353028446,0.490389824,0.01582408,0.352017611,0.515210211,0.02655595,0.350580037,0.533929706,0.02629975,0.391220093,0.492914587,-0.010078206,0.384157687,0.505226672,0.013955177,0.380278289,0.527325094,0.025131812,0.378110588,0.543479383,0.027998846,Right
0.344493598,0.636713028,-2.53E-09,0.291751087,0.600505233,0.009250952,0.256916672,0.561630726,0.008547924,0.225919992,0.538906634,0.006923772,0.201555312,0.542607427,0.006553872,0.293400288,0.467918694,-0.004596234,0.291860551,0.479034126,0.009266917,0.298119813,0.512140989,0.018458687,0.299879938,0.530790567,0.021334948,0.33100459,0.464230955,-0.010175682,0.32627216,0.481077492,0.007443178,0.327866524,0.508119106,0.018179342,0.327325732,0.525442839,0.019207016,0.365264684,0.475344032,-0.011503889,0.356496096,0.494599879,0.011117065,0.355626434,0.518253922,0.021688238,0.354098916,0.535523951,0.021324897,0.393677413,0.492988884,-0.013352115,0.387387544,0.509121954,0.009303856,0.383585662,0.530514359,0.019912353,0.381250501,0.545423329,0.022448057,Right
0.360301405,0.636567116,-2.90E-09,0.307338119,0.600208402,0.006509608,0.271514773,0.558307171,0.005661632,0.240335554,0.534629524,0.004414279,0.213361472,0.540679395,0.004441242,0.30955407,0.465737313,-0.004409694,0.311094195,0.472619563,0.009290298,0.316242009,0.50491029,0.018088493,0.314414203,0.521624267,0.020732019,0.347589761,0.463563949,-0.008403931,0.343849152,0.478791177,0.009394673,0.344860017,0.505791783,0.01964286,0.342907369,0.522619665,0.020355517,0.381392598,0.476655006,-0.008666287,0.372041106,0.498560458,0.013218391,0.371263742,0.520861804,0.022034219,0.369288713,0.536589444,0.020870669,0.40885812,0.494999021,-0.009751153,0.400553793,0.5177809,0.012748901,0.396684617,0.539540589,0.021901611,0.394708514,0.55295074,0.023454258,Right
0.365071714,0.635589957,-2.58E-09,0.311052322,0.600052059,0.007242875,0.274614722,0.559417725,0.006031996,0.241882741,0.536418021,0.004305135,0.216440603,0.539245129,0.003959908,0.313002408,0.46607393,-0.004624115,0.310670793,0.477528811,0.00963891,0.317245245,0.511144221,0.018802026,0.318962693,0.529186726,0.0214027,0.351268798,0.46331805,-0.009128537,0.346679509,0.480346709,0.008639675,0.347831875,0.508330822,0.018945474,0.346895576,0.525848091,0.019556627,0.385813534,0.475702018,-0.009635795,0.377223104,0.497459143,0.012829557,0.37600702,0.520926952,0.022254029,0.374293447,0.537207663,0.021087771,0.414327443,0.494189233,-0.010802863,0.408000886,0.516141295,0.011823991,0.404271841,0.5387972,0.021534074,0.402346373,0.552850068,0.023308935,Right
0.368858665,0.638911843,-2.76E-09,0.313445091,0.602268338,0.009987874,0.276521593,0.559708595,0.010394435,0.244370401,0.53423357,0.010023752,0.219405174,0.535770178,0.011174549,0.317047387,0.465366542,-0.001530291,0.313221693,0.478152156,0.014395763,0.319437563,0.512262464,0.024988934,0.321512073,0.531115353,0.028580412,0.355639309,0.462028563,-0.006704252,0.34849593,0.480858803,0.012999025,0.34924379,0.509384573,0.024793055,0.348614842,0.527672589,0.026313543,0.39027667,0.474458307,-0.007656453,0.379608124,0.497447938,0.016264843,0.378473371,0.521133244,0.026713613,0.377223074,0.537845492,0.026176047,0.418559164,0.493154824,-0.009018311,0.410507232,0.516400397,0.014754571,0.406636804,0.538984537,0.025237096,0.405109107,0.552930117,0.027557321,Right
0.37828058,0.638220429,-3.01E-09,0.322649807,0.601417065,0.011084367,0.285464883,0.558650434,0.012265828,0.252989113,0.532302678,0.01245222,0.226723701,0.532926857,0.014090962,0.325919002,0.465963662,0.000664354,0.322064638,0.471936285,0.018054344,0.327017009,0.505815029,0.029810397,0.327655107,0.525517344,0.034171343,0.364350766,0.463211864,-0.004492121,0.356368482,0.476364762,0.016344173,0.356901854,0.50528127,0.028454529,0.356216311,0.524734139,0.030485546,0.398551285,0.475232989,-0.005234874,0.38717857,0.492388546,0.019699533,0.386000425,0.516338944,0.030138897,0.384686053,0.534672499,0.029768575,0.426153868,0.492620766,-0.006255136,0.4172436,0.510767162,0.01861399,0.413467973,0.533552706,0.02942176,0.41187942,0.549311101,0.032002602,Right
0.379955441,0.637990534,-3.01E-09,0.323788226,0.601957977,0.009866862,0.28690955,0.55970186,0.010222971,0.254782856,0.532770336,0.009637992,0.228693113,0.532714367,0.010549039,0.327193886,0.467690438,-0.000976133,0.32211408,0.47560963,0.014959695,0.327879697,0.509589493,0.025785597,0.33047232,0.53012675,0.029549418,0.365312517,0.46303764,-0.00640113,0.357840091,0.478033125,0.013679194,0.35847199,0.506883025,0.025265595,0.358390838,0.526671827,0.026636545,0.399906009,0.47367838,-0.007768724,0.389484435,0.493696004,0.016439764,0.388481289,0.51806289,0.026568193,0.387599707,0.536429584,0.025748594,0.428211927,0.490148306,-0.009608017,0.42153734,0.509242415,0.014007477,0.417837083,0.53207624,0.024235971,0.416315794,0.547723234,0.02640257,Right
0.382032901,0.638079584,-2.98E-09,0.325651973,0.602199435,0.009999963,0.288646996,0.560629189,0.01046693,0.256320685,0.533512414,0.009977582,0.230295628,0.532155573,0.011088659,0.329532474,0.467878282,1.96E-05,0.324847341,0.474308848,0.016731618,0.33004725,0.507840097,0.028173871,0.332097411,0.52830255,0.032301623,0.367291898,0.46347627,-0.005247508,0.36027354,0.47689271,0.015585373,0.360406488,0.505368948,0.027676415,0.359940082,0.525173008,0.029435076,0.401761502,0.474465847,-0.006486362,0.391558111,0.493667305,0.018197818,0.390409112,0.517465591,0.028490819,0.389499784,0.535616875,0.027874844,0.430042803,0.49112007,-0.00815686,0.423478365,0.510541558,0.015811579,0.419744074,0.532962024,0.02612335,0.418322206,0.548082709,0.028426275,Right
0.383211941,0.640146673,-3.45E-09,0.32695654,0.603386521,0.011026986,0.290415883,0.561219215,0.012363795,0.258184761,0.533830702,0.012820478,0.23241818,0.531969965,0.01493932,0.333245397,0.467223346,0.002053766,0.326142162,0.474367678,0.020555008,0.330464721,0.508738458,0.033125032,0.332705677,0.529872417,0.037959442,0.370952964,0.463898122,-0.002799927,0.361358792,0.47810936,0.02007339,0.360661477,0.507685423,0.033007551,0.360505521,0.528376698,0.035252783,0.405018985,0.476087213,-0.003480901,0.392680347,0.49513936,0.022904186,0.390980691,0.519443333,0.033389565,0.390292138,0.538150311,0.032754708,0.432572544,0.493789285,-0.00440535,0.424050212,0.513089418,0.02064928,0.420009524,0.535781682,0.031235173,0.419030488,0.551322401,0.033671793,Right
